"SetCode","OrganizationCode","ReferenceGroupName","Name","CreatedBy","CreationDate","DeterminantType","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","SysEffectiveDate","ClassificationCode","EffectiveStartDate","EffectiveEndDate"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","VRM_REVENUE_POLICIES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.773","BU","2024/01/29 17:08:55.72","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","VRM_REVENUE_RULES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.777","BU","2024/01/29 17:08:55.722","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_SALES_METHODS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.78","BU","2024/01/29 17:08:55.724","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","HZ_SALES_PERSON","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.782","BU","2024/01/29 17:08:55.726","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_SETID_REVN_CATEGORY","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.785","BU","2024/01/29 17:08:55.727","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_SETID_REVENUE_TYPE","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.788","BU","2024/01/29 17:08:55.729","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_STAGE_PHASE_CD","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.79","BU","2024/01/29 17:08:55.731","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","SVC_SR_SEVERITIES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.793","BU","2024/01/29 17:08:55.733","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","ZBS_STATUS_LOOKUP_VALUES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.817","BU","2024/01/29 17:08:55.735","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_SETID_STRATEGIC_VALUE","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.822","BU","2024/01/29 17:08:55.737","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","ZX_TAX_CLASSIFICATION_CODES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.826","BU","2024/01/29 17:08:55.738","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","MOO_SETID_WIN_LOSS_REASON","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.829","BU","2024/01/29 17:08:55.74","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","AR_TRANSACTION_TYPE","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.832","BU","2024/01/29 17:08:55.742","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","OKC_APPLY_HOLD_REASONS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.837","BU","2024/01/29 17:08:55.744","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","OKC_CANCELLATION_REASONS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.84","BU","2024/01/29 17:08:55.746","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","CJM_ADJUSTMENT_TYPES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.843","BU","2024/01/29 17:08:55.748","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","CJM_CLAIM_CLASS_SOURCE_MAP","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.852","BU","2024/01/29 17:08:55.749","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","CJM_CLAIM_TYPES","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.855","BU","2024/01/29 17:08:55.75","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","CJM_CLAIM_REASONS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.857","BU","2024/01/29 17:08:55.752","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","OKC_CLOSE_REASONS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.861","BU","2024/01/29 17:08:55.753","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
"COMMON","DEF13B7EE22F5872E0530364FD0A65EA 300000247752461 2022-05-24 18.15.27.787","IEX_COLLECTIONS_SETUPS","Aquisition Business Unit","CURTIS.FEITTY","2024/01/29 17:08:44.864","BU","2024/01/29 17:08:55.755","0FEF15F216B61447E063CE65F00A8F5A","CURTIS.FEITTY","2024/02/12","FUN_BUSINESS_UNIT","0001/01/01","4712/12/31"
